sql,sentences_fr
SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,quel cours a le plus grand nombre d'étudiants inscrits?
SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,Quel est le nom du cours avec le plus d'étudiants inscrits?
SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,qu'en est-il des étudiants qui se sont inscrits à certains cours mais qui ont le moins de cours chez ces étudiants ?
SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,Quels sont les identifiants des étudiants qui se sont inscrits à certains cours mais qui ont eu le moins de cours pour tous les étudiants ?
"SELECT T2.first_name , T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id",quels sont le prénom et le nom de tous les candidats ?
"SELECT T2.first_name , T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id",Quels sont les noms et prénoms de tous les candidats ?
SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),Lister l'identifiant des étudiants qui n'assistent jamais aux cours ?
SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),Quels sont les identifiants de chaque étudiant qui n'a jamais suivi de cours ?
SELECT student_id FROM student_course_attendance,Lister l'identifiant des étudiants qui ont suivi certains cours ?
SELECT student_id FROM student_course_attendance,Quels sont les identifiants de tous les étudiants qui ont suivi au moins un cours ?
"SELECT T1.student_id , T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id",Quels sont les identifiants de tous les étudiants pour les cours et quels sont les noms de ces cours ?
SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,Quel est le détail de l'étudiant qui s'est inscrit le plus récemment au cours ?
SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,Quels détails avons-nous sur les étudiants qui se sont inscrits aux cours le plus récemment ?
"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",Combien d'étudiants suivent le cours d'anglais?
"SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",Combien d'étudiants suivent des cours d'anglais?
SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,À combien de cours l'étudiant dont l'identifiant est 171 assiste-t-il ?
SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,À combien de cours l'étudiant avec l'identifiant 171 assiste-t-il réellement ?
"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""",Trouver l'identifiant du candidat dont l'e-mail est stanley.monahan@example.org ?
"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""",Quel est l'identifiant du candidat dont l'e-mail est stanley.monahan@example.org ?
SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,Trouver l'identifiant du candidat qui a accédé le plus récemment au cours ?
SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,Quel est l'identifiant du candidat qui a accédé le plus récemment au cours ?
SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,Quel est le détail de l'étudiant qui s'est inscrit le plus de cours ?
SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,Quelles sont les coordonnées de l'étudiant qui s'est inscrit au plus grand nombre de cours ?
"SELECT T1.student_id , count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id",Indiquez l'identifiant des étudiants qui se sont inscrits à certains cours et le nombre de leurs cours inscrits ?
"SELECT T1.student_id , count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id","Pour chaque étudiant inscrit à un cours, à combien de cours sont-ils inscrits ?"
"SELECT T3.course_name , count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id",Combien d'étudiants inscrits chaque cours compte-t-il? Indiquez le nom du cours et le nombre d'étudiants inscrits ?
"SELECT T3.course_name , count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id","Pour chaque identifiant de cours, combien d'étudiants sont inscrits et quels sont les noms de cours ?"
"SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""","Trouver l'identifiant des candidats dont le code d'évaluation est ""Pass"" ?"
"SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""",Quels sont les identifiants des candidats dont le code de résultat est Pass ?
"SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""","Trouver le numéro de portable des candidats dont le code d'évaluation est ""Echec"" ?"
"SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""","Quels sont les numéros de téléphone portable des candidats qui ont reçu un code d'évaluation ""Échec"" ?"
SELECT student_id FROM student_course_attendance WHERE course_id = 301,Quels sont les identifiants des étudiants qui se sont inscrits au cours 301 ?
SELECT student_id FROM student_course_attendance WHERE course_id = 301,Quels sont les identifiants des étudiants inscrits au cours 301 ?
SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,Quel est l'identifiant de l'étudiant qui s'est inscrit le plus récemment au cours 301 ?
SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,Quels sont les identifiants des étudiants qui se sont inscrits au cours 301 le plus récemment ?
SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,Trouver des villes distinctes d'adresses de personnes ?
SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,Quelles sont les différentes villes où les gens vivent?
SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,Trouver des villes d'adresse distinctes pour les étudiants ?
SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,Quelles sont les différentes villes où vivent les étudiants ?
SELECT course_name FROM courses ORDER BY course_name,Lister les noms des cours par ordre alphabétique ?
SELECT course_name FROM courses ORDER BY course_name,Quels sont les noms des cours par ordre alphabétique ?
SELECT first_name FROM people ORDER BY first_name,Lister les prénoms des personnes par ordre alphabétique ?
SELECT first_name FROM people ORDER BY first_name,Quels sont les prénoms des personnes par ordre alphabétique ?
SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,Quel est l'identifiant des étudiants qui se sont inscrits à des cours ou qui ont suivi des cours ?
SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,Quels sont les identifiants des étudiants qui se sont inscrits ou ont suivi un cours ?
SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,Trouver l'identifiant des cours qui sont inscrits ou suivis par l'étudiant dont l'identifiant est 121 ?
SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,Quels sont les identifiants des cours inscrits ou suivis par l'étudiant dont l'identifiant est 121 ?
SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),Quelles sont toutes les informations sur les étudiants qui se sont inscrits à des cours mais qui n'ont pas suivi de cours ?
SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),Quels sont tous les détails des étudiants qui se sont inscrits mais n'ont suivi aucun cours ?
"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date",Indiquez l'identifiant des étudiants qui ont enregistré des statistiques de cours dans l'ordre de la date d'inscription.
"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date",Quels sont les identifiants des étudiants qui se sont inscrits aux statistiques des cours par ordre de date d'inscription ?
"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance",Indiquez l'identifiant des étudiants qui ont suivi des cours de statistiques dans l'ordre de la date de participation.
"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance",Quels sont les identifiants des étudiants qui ont suivi les cours du département de statistiques par ordre de date de fréquentation.
SELECT date FROM weather WHERE max_temperature_f > 85,Donnez-moi les dates où la température maximale était supérieure à 85.
SELECT date FROM weather WHERE max_temperature_f > 85,Quelles sont les dates avec une température maximale supérieure à 85 ?
SELECT name FROM station WHERE lat < 37.5,"Quels sont les noms des stations qui ont une latitude inférieure à 37,5 ?"
SELECT name FROM station WHERE lat < 37.5,"Quels sont les noms de toutes les stations dont la latitude est inférieure à 37,5 ?"
"SELECT city , max(lat) FROM station GROUP BY city","Pour chaque ville, renvoyez la latitude la plus élevée parmi ses stations."
"SELECT city , max(lat) FROM station GROUP BY city","Pour chaque ville, quelle est la latitude la plus élevée de ses gares ?"
"SELECT start_station_name , end_station_name FROM trip ORDER BY id LIMIT 3",Donnez-moi la gare de départ et la gare d'arrivée pour les trajets avec les trois identifiants les plus anciens.
"SELECT start_station_name , end_station_name FROM trip ORDER BY id LIMIT 3",Quelle est la gare et la gare d'arrivée pour les trajets avec les trois plus petits identifiants ?
"SELECT avg(lat) , avg(long) FROM station WHERE city = ""San Jose""",Quelle est la latitude et la longitude moyennes des stations situées dans la ville de San José ?
"SELECT avg(lat) , avg(long) FROM station WHERE city = ""San Jose""",Quelle est la latitude et la longitude moyennes à San José ?
SELECT id FROM trip ORDER BY duration LIMIT 1,Quel est l'identifiant du voyage qui a la durée la plus courte ?
SELECT id FROM trip ORDER BY duration LIMIT 1,Quel est l'identifiant du trajet le plus court ?
"SELECT sum(duration) , max(duration) FROM trip WHERE bike_id = 636",Quelle est la durée totale et maximale des trajets avec l'identifiant vélo 636 ?
"SELECT sum(duration) , max(duration) FROM trip WHERE bike_id = 636",Quelle est la durée totale et maximale de tous les trajets avec le vélo id 636 ?
"SELECT zip_code , avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code","Pour chaque code postal, retournez la température moyenne moyenne du mois d'août à cet endroit."
"SELECT zip_code , avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code","Pour chaque code postal, quelle est la température moyenne moyenne pour toutes les dates commençant par '8' ?"
SELECT count(DISTINCT bike_id) FROM trip,"À partir de l'enregistrement du voyage, trouvez le nombre de vélos uniques."
SELECT count(DISTINCT bike_id) FROM trip,Combien y a-t-il d'identifiants de vélo différents ?
SELECT count(DISTINCT city) FROM station,Quel est le nombre de villes distinctes dans lesquelles les stations sont situées ?
SELECT count(DISTINCT city) FROM station,Combien de villes différentes ont ces stations ?
"SELECT COUNT(*) FROM station WHERE city = ""Mountain View""",Combien de stations compte la ville de Mountain View ?
"SELECT COUNT(*) FROM station WHERE city = ""Mountain View""",Combien de stations y a-t-il à Mountain View ?
SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id WHERE T2.bikes_available = 7,Renvoie le nom unique des stations qui ont déjà eu 7 vélos disponibles.
SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id WHERE T2.bikes_available = 7,Quels sont les différents noms pour chaque station qui a déjà eu 7 vélos disponibles ?
"SELECT start_station_name , start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",Quelle gare de départ a enregistré le plus de trajets à partir du mois d'août ? Donnez-moi le nom et l'identifiant de la station.
"SELECT start_station_name , start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",Quels sont le nom et l'identifiant de la station de départ de celle qui a eu le plus de trajets de départ en août ?
SELECT bike_id FROM trip WHERE zip_code = 94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,Quel vélo a voyagé le plus souvent dans le code postal 94002 ?
SELECT bike_id FROM trip WHERE zip_code = 94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,Quel est l'identifiant du vélo qui a le plus voyagé en 94002 ?
SELECT COUNT(*) FROM weather WHERE mean_humidity > 50 AND mean_visibility_miles > 8,Combien de jours ont eu à la fois une humidité moyenne supérieure à 50 et une visibilité moyenne supérieure à 8 ?
SELECT COUNT(*) FROM weather WHERE mean_humidity > 50 AND mean_visibility_miles > 8,Quel est le nombre de jours qui ont eu une humidité moyenne supérieure à 50 et une visibilité moyenne supérieure à 8 ?
"SELECT T1.lat , T1.long , T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.start_station_id ORDER BY T2.duration LIMIT 1","Quelle est la latitude, la longitude, la ville de la gare à partir de laquelle le trajet le plus court a commencé ?"
"SELECT T1.lat , T1.long , T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.start_station_id ORDER BY T2.duration LIMIT 1","Quelles sont la latitude, la longitude et la ville de la gare à partir de laquelle le trajet de la plus courte durée a commencé ?"
"SELECT id FROM station WHERE city = ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING avg(bikes_available) > 10",Quels sont les identifiants des stations situées à San Francisco et dont la disponibilité moyenne des vélos est supérieure à 10 ?
"SELECT id FROM station WHERE city = ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING avg(bikes_available) > 10",Quels sont les identifiants des stations de San Francisco qui ont normalement plus de 10 vélos disponibles ?
"SELECT T1.name , T1.id FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available) > 14 UNION SELECT name , id FROM station WHERE installation_date LIKE ""12/%""",Quels sont les noms et identifiants des stations qui disposaient en moyenne de plus de 14 vélos ou qui ont été installées en décembre ?
"SELECT T1.name , T1.id FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available) > 14 UNION SELECT name , id FROM station WHERE installation_date LIKE ""12/%""",Quels sont les noms et identifiants de toutes les stations qui ont plus de 14 vélos disponibles en moyenne ou dont des vélos ont été installés en décembre ?
SELECT cloud_cover FROM weather WHERE zip_code = 94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,Quels sont les 3 taux de couverture nuageuse les plus courants dans la région du code postal 94107 ?
SELECT cloud_cover FROM weather WHERE zip_code = 94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,Quelles sont les 3 couvertures nuageuses les plus courantes dans le code postal 94107 ?
SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,Quel est le code postal dans lequel la pression moyenne moyenne au niveau de la mer est la plus basse ?
SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,Quel est le code postal qui a la pression moyenne moyenne au niveau de la mer la plus basse ?
"SELECT avg(bikes_available) FROM status WHERE station_id NOT IN (SELECT id FROM station WHERE city = ""Palo Alto"")",Quelle est la disponibilité moyenne de vélos dans les stations qui ne sont pas situées à Palo Alto ?
"SELECT avg(bikes_available) FROM status WHERE station_id NOT IN (SELECT id FROM station WHERE city = ""Palo Alto"")",Quelle est la disponibilité moyenne des vélos pour les stations qui ne sont pas à Palo Alto ?
SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available) > 10),Quelle est la longitude moyenne des stations qui n'ont jamais eu de disponibilité de vélo supérieure à 10 ?
SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available) > 10),Quelle est la longitude moyenne de toutes les stations qui n'ont jamais eu plus de 10 vélos disponibles ?
"SELECT date , zip_code FROM weather WHERE max_temperature_f >= 80",Quand et dans quel code postal la température maximale a-t-elle atteint 80 ?
"SELECT date , zip_code FROM weather WHERE max_temperature_f >= 80",Quels codes postaux ont une station avec une température maximale supérieure ou égale à 80 et quand a-t-elle atteint cette température ?
SELECT T1.id FROM trip AS T1 JOIN weather AS T2 ON T1.zip_code = T2.zip_code GROUP BY T2.zip_code HAVING avg(T2.mean_temperature_f) > 60,Donnez-moi des identifiants pour tous les voyages qui ont eu lieu dans une zone de code postal avec une température moyenne moyenne supérieure à 60.
SELECT T1.id FROM trip AS T1 JOIN weather AS T2 ON T1.zip_code = T2.zip_code GROUP BY T2.zip_code HAVING avg(T2.mean_temperature_f) > 60,"Pour chaque code postal, trouver les identifiants de tous les trajets qui ont une température moyenne supérieure à 60 ?"
"SELECT zip_code , count(*) FROM weather WHERE max_wind_Speed_mph >= 25 GROUP BY zip_code","Pour chaque code postal, indiquez combien de fois la vitesse maximale du vent a atteint 25 ?"
"SELECT zip_code , count(*) FROM weather WHERE max_wind_Speed_mph >= 25 GROUP BY zip_code","Pour chaque code postal, combien de fois la vitesse maximale du vent a-t-elle atteint 25 mph ?"
"SELECT date , zip_code FROM weather WHERE min_dew_point_f < (SELECT min(min_dew_point_f) FROM weather WHERE zip_code = 94107)",Quel jour et dans quel code postal le point de rosée minimum était-il inférieur à n'importe quel jour du code postal 94107 ?
"SELECT date , zip_code FROM weather WHERE min_dew_point_f < (SELECT min(min_dew_point_f) FROM weather WHERE zip_code = 94107)","Quels jours ont eu un point de rosée minimum inférieur à n'importe quel jour dans le code postal 94107, et dans quels codes postaux ces mesures ont-elles été prises ?"
"SELECT T1.id , T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id = T2.id","Pour chaque trajet, retournez la date d'installation de sa station d'arrivée."
